[2982, 585018] [15218, 565991]
[15882, 565035] [28124, 543997]
[28996, 543006] [97011, 512960]
[97700, 512010] [102055, 480944]
[102993, 480093] [127015, 467974]
[127873, 467964] [132018, 472049]
[132949, 472020] [142053, 462998]
[142975, 462951] [173013, 466007]
[173998, 466872] [195024, 485068]
[142107, 462013] [139705, 423989]
[132758, 472985] [154043, 510048]
[154989, 510945] [156007, 511044]
[156016, 511910] [153879, 520008]
[195938, 485064] [233003, 454970]
[233965, 454017] [255006, 423866]
[255963, 423049] [297026, 416930]
[297067, 416023] [292863, 382962]
[292896, 382014] [313002, 355922]
[313969, 355018] [322092, 333987]
[322974, 333094] [357001, 324817]
[357025, 324038] [353973, 314985]
[357963, 324935] [370018, 350038]
[370987, 350870] [410011, 359024]
[353095, 314040] [337928, 271988]
[337945, 271142] [361010, 264998]
[322009, 333029] [290967, 293946]
[139026, 423996] [88997, 426166]
[88037, 426995] [58984, 439150]
[58001, 439986] [41968, 467029]
[41002, 467016] [18983, 464938]
[195982, 485870] [245024, 508045]
[245965, 508906] [285114, 550001]
[285974, 550979] [321014, 558120]
[285967, 550126] [314005, 503959]
[314957, 503072] [334005, 500718]
[334998, 500008] [371080, 466974]
[371999, 466077] [409026, 463968]
[409995, 463076] [416055, 452944]
[416986, 452100] [460007, 428859]
[460987, 428072] [477006, 414966]
[477914, 414133] [504076, 392955]
[504978, 392032] [526046, 357984]
[504039, 392051] [478944, 358994]
[478993, 358023] [482025, 355966]
[285009, 550931] [229996, 565016]
[229002, 565988] [221941, 588003]
[221325, 588993] [213973, 627003]
[213008, 627869] [202999, 634071]
[202001, 634889] [161999, 636217]
[161028, 636055] [136999, 630785]
[136007, 630000] [123840, 596960]
[213992, 627874] [256002, 652006]
[256986, 652110] [264014, 648983]
[264958, 648934] [282002, 653035]
[282998, 653015] [310034, 617972]
[310002, 617001] [309972, 616919]
[310979, 617979] [328101, 646010]
[328994, 646993] [340029, 686026]
[340996, 686849] [368009, 692089]
[368966, 692902] [404032, 705014]
[404907, 705950] [421005, 716023]
[421978, 716994] [447011, 726033]
[447962, 726886] [455039, 734074]
[404995, 705028] [424005, 678978]
[455996, 734032] [491007, 712983]
[491934, 712999] [516055, 726002]
[516994, 726012] [545011, 712902]
[545642, 712004] [546025, 678999]
[546986, 678863] [576039, 694084]
[576950, 694975] [591010, 704119]
[591257, 704987] [584968, 734009]
[584058, 734995] [570998, 763048]
[546946, 678000] [547495, 644997]
[547942, 644093] [561074, 627999]
[547021, 644010] [527934, 625982]
[570949, 763998] [580028, 796002]
[580979, 796787] [589015, 798252]
[580037, 796971] [555988, 815021]
[555015, 815056] [536942, 783962]
[536022, 783008] [529971, 778969]
[527256, 625002] [523935, 587998]
[523014, 587897] [505975, 593043]
[505030, 593006] [497972, 589946]
[523120, 587024] [519821, 556994]
[519974, 556023] [537010, 538945]
[584968, 734946] [617026, 757044]
[617975, 757007] [651007, 740974]
[651964, 740917] [662020, 757025]
[497019, 589931] [472893, 622029]
[472063, 622011] [458973, 618861]
[458014, 618975] [430991, 620222]
[430028, 620006] [426989, 606965]
[426005, 606296] [391990, 604883]
[529004, 778273] [484992, 774900]
[484012, 774942] [446991, 805127]
[446962, 805941] [459096, 825028]
[459995, 825854] [503001, 829000]
[446030, 805121] [401998, 789879]
[401022, 789012] [392910, 759977]
[401001, 789996] [380911, 815017]
[392002, 759845] [355950, 767052]
[355015, 767016] [335988, 759953]
[335000, 759855] [303997, 760265]
[303013, 760977] [257980, 766005]
[257027, 766038] [209997, 758901]
[209041, 758948] [188993, 763025]
[209203, 758979] [205789, 783006]
[188037, 763034] [169935, 724921]
[169910, 724018] [176004, 705992]
[169017, 724114] [141938, 711943]
[141066, 711002] [140812, 694995]
[140991, 694066] [146075, 690999]
[140014, 694778] [114984, 701015]
[114001, 701945] [111997, 704011]
[114097, 701027] [112972, 695965]
[112691, 695000] [115064, 679970]
[111015, 704965] [85999, 710039]
[85002, 710983] [75980, 712181]
[75072, 712056] [49985, 681924]
[49140, 681001] [44912, 659997]
[176934, 705112] [215021, 683931]
[662997, 757746] [711013, 760103]
[711970, 760023] [723036, 741976]
[723134, 741001] [717887, 696998]
[426166, 606002] [425866, 555994]
[425999, 555067] [434024, 549957]
[425019, 555121] [411998, 547987]
[411020, 547122] [405867, 540983]
[405014, 540949] [393933, 548002]
[405986, 540044] [423147, 520992]
[423987, 520125] [441021, 512967]
[434992, 549065] [467011, 541825]
[711083, 760991] [703899, 811008]
[717060, 696037] [690908, 650933]
[690068, 650969] [673918, 664019]
[690102, 650015] [676948, 629962]
[676986, 629020] [695014, 624971]
[673009, 664012] [639997, 658985]
[639025, 658012] [625919, 627980]
[625987, 627030] [629002, 623941]
[629981, 623062] [650025, 598996]
[650895, 598014] [655039, 574995]
[650968, 598116] [678015, 593918]
[678998, 593222] [698006, 589771]
